hour,taxi_time,average traffic
0,21.94555130404187,3.2904109589041095
1,20.744216499345264,1.0452054794520549
2,17.526190476190475,0.2452054794520548
3,18.795626576955424,0.10136986301369863
4,19.77749096541043,0.24246575342465754
5,21.8620721361454,5.5698630136986305
6,25.067356671788684,18.958904109589042
7,25.614215595595773,21.436986301369863
8,27.86990167449276,25.35753424657534
9,27.316139840538916,23.972602739726028
10,25.834481325909515,27.91095890410959
11,24.48173102891655,25.4013698630137
12,24.00744177897482,27.636986301369863
13,23.85513572239047,24.245205479452054
14,24.70918494727097,27.40547945205479
15,25.04292353611957,25.11917808219178
16,24.670048361349263,26.802739726027397
17,25.7992353927574,26.610958904109587
18,26.464207190900126,27.15753424657534
19,25.87150166126333,24.153424657534245
20,26.233537122312583,24.073972602739726
21,25.28755576033593,19.46712328767123
22,23.52282430369764,16.856164383561644
23,23.039301028826234,10.702739726027398
24,23.333859933387345,2.605479452054795
