hour,taxi_time,average traffic
0,21.540199649264807,3.2958904109589042
1,20.378024551937596,1.180821917808219
2,17.97088366179275,0.2547945205479452
3,18.46474358974359,0.09726027397260274
4,17.896270396270396,0.24657534246575344
5,22.46472081028594,5.521917808219179
6,24.998042033055864,19.036986301369865
7,25.49894163936793,21.2986301369863
8,27.589594068677734,25.42876712328767
9,26.926157518886072,24.421917808219177
10,25.83169432808359,27.921917808219177
11,24.777843255384113,25.997260273972604
12,24.344742574728585,27.595890410958905
13,23.919188206184472,24.22054794520548
14,24.48029062978359,27.205479452054796
15,25.105745228914564,24.73972602739726
16,24.68241224659671,26.486301369863014
17,25.81951458407515,26.339726027397262
18,26.18498794121451,26.96849315068493
19,25.874860452444153,23.993150684931507
20,26.232161770914303,24.423287671232877
21,25.189226596235088,19.55890410958904
22,23.774444590089114,17.146575342465752
23,22.522995321164508,10.473972602739725
24,23.497175871321232,2.515068493150685
