hour,taxi_time,average traffic
0,22.01147333318071,3.3506849315068497
1,21.134631795195954,1.0945205479452056
2,16.667950363714162,0.24794520547945204
3,18.409090909090907,0.08493150684931508
4,18.70984126984127,0.29452054794520544
5,22.153737571654197,5.4082191780821915
6,25.04797027256953,18.92739726027397
7,25.672923310194793,21.04931506849315
8,27.679570635183246,25.508219178082193
9,27.02826150447632,24.345205479452055
10,25.767422137417558,27.802739726027397
11,24.520614686103627,25.941095890410956
12,24.04289990934265,27.21232876712329
13,23.79072639208934,24.012328767123286
14,24.65167171597041,27.434246575342467
15,25.10697481902173,24.994520547945207
16,24.63798804652744,26.69178082191781
17,25.819327971645453,26.394520547945206
18,26.41948788474368,27.230136986301368
19,26.043259868170665,24.46164383561644
20,25.976178763297835,23.987671232876714
21,25.20274313412435,19.63013698630137
22,23.658301872376384,17.10958904109589
23,22.698278068320906,10.576712328767124
24,22.496629341323043,2.5794520547945208
