hour,taxi_time,average traffic
0,41.0,0.02773497688751926
1,17.5,0.007704160246533129
2,17.0,0.004622496147919877
4,24.5,0.004622496147919877
5,21.916666666666668,0.07550077041602465
6,23.960040983606557,0.23882896764252695
7,24.060897435897438,0.23266563944530044
8,26.88105263157895,0.27889060092449924
9,27.76240445653582,0.2773497688751926
10,25.47231934731935,0.325115562403698
11,24.86375,0.30508474576271183
12,23.509801686801914,0.29738058551617874
13,23.78723404255319,0.2588597842835131
14,24.22262612910333,0.3020030816640986
15,23.64028314028314,0.25577812018489987
16,24.91198501872659,0.2912172573189522
17,25.282739105829087,0.30046224961479195
18,29.683638583638583,0.28659476117103233
19,26.695517981749866,0.27426810477657937
20,26.16054472763618,0.27889060092449924
21,25.22181818181818,0.24961479198767333
22,22.43663101604278,0.19876733436055471
23,23.53879781420765,0.11864406779661017
