tail_num,dep_delay,taxi_out,arr_delay,taxi_in
N947UW,9.57036374478235,21.797853309481216,4.201848539057841,6.97376267143709
N947WN,10.169364580816623,12.227107997100749,3.1630828702585165,5.081420633003141
N948AN,11.585863613738178,18.894474863115978,7.537580886012941,10.126928820308612
N948AT,6.787535410764873,16.986150456405415,-1.4768649669499527,7.119294932326094
N948DL,6.527403846153846,16.19423076923077,0.7572115384615384,6.696153846153846
N948DN,8.257831325301204,16.545381526104418,0.5582329317269076,6.338955823293173
N948FR,20.79676985195155,15.660834454912516,14.930013458950201,10.390309555854643
N948JB,24.790434235368156,19.17180616740088,17.983637507866582,8.409691629955947
N948LR,13.009016624401239,17.244575936883628,10.867004790081713,7.709495632572556
N948NN,10.839474798814061,18.823379923761117,6.404489623041084,10.06861499364676
N948SW,8.125827814569536,20.751182592242195,6.8514664143803214,7.811731315042573
N948UW,10.202608431907795,21.552926903245375,4.618744313011829,7.050652107976949
N948WN,10.293444576877235,12.138974970202622,3.4407628128724674,5.170679380214541
N949AN,10.267058291911432,18.69995481247176,5.932670582919115,10.166290103931315
N949AT,7.428443915501339,16.127640583159774,-0.0035703659625111574,7.030050580184469
N949DL,6.691615804690009,16.18117571474462,0.8384195309990363,6.591069707677481
N949DN,9.55730659025788,17.162607449856733,2.748567335243553,6.290114613180516
N949FR,12.275022275022275,15.62102762102762,6.037125037125037,10.186813186813186
N949JB,20.31704668838219,20.32681867535288,15.431053203040173,8.384364820846905
N949JT,18.45872801082544,19.081190798376184,9.939106901217862,8.139377537212448
N949NN,11.143169877408056,18.601138353765325,6.676007005253941,10.416374781085814
N949UW,8.952292441140024,21.811028500619578,3.4876084262701363,7.075588599752169
N949WN,9.59638989169675,12.088086642599277,2.502286401925391,5.17496991576414
N950AN,13.422354104846686,19.13847675568744,9.780415430267063,10.144411473788328
N950AT,6.702994011976048,16.41556886227545,-1.597305389221557,7.253892215568862
N950DL,8.497712252160651,16.30910015251652,2.7691916624300967,6.640569395017794
N950DN,12.134052388289676,16.620570107858242,4.1621725731895225,6.4576271186440675
N950JB,17.26644736842105,19.98574561403509,12.06140350877193,8.551535087719298
N950JT,20.210762331838566,18.330717488789237,13.053811659192824,8.04932735426009
N950LR,13.473993808049535,17.44953560371517,11.625386996904025,7.805882352941176
N950NN,10.532738095238095,18.480017006802722,6.325255102040816,10.071003401360544
N950UW,10.968770331815225,21.74137931034483,5.917696811971373,7.148991541964866
N950WN,11.160236686390533,12.44,4.337988165680473,5.204023668639053
N951AA,11.904515522107245,18.780809031044214,8.146284101599248,10.005174035747883
N951AT,9.008492569002124,17.0276008492569,0.9047619047619048,7.252957233848954
N951DL,4.441282746160795,15.896115627822946,-1.6951219512195121,6.634146341463414
N951DN,9.967353284104158,16.543723280217645,1.6125145744267393,6.469102215312865
N951FR,21.243589743589745,20.44871794871795,17.666666666666668,11.282051282051283
N951LR,11.042521994134898,17.024633431085043,8.620234604105573,7.862463343108504
N951NN,9.97644539614561,18.744325481798715,5.851391862955032,10.332762312633832
N951SW,14.351549755301795,19.608482871125613,10.738716693855356,7.569874932028276
N951UW,7.2758037225042305,21.574957698815567,2.0758037225042303,7.05922165820643
N951WN,9.846604215456674,12.14519906323185,2.905854800936768,5.08384074941452
N952AA,13.955159112825458,18.772420443587272,10.552555448408873,10.099807135969142
N952AT,6.77010125074449,16.78945801072067,-0.9791542584871947,7.22483621203097
N952DL,6.207488299531981,16.313572542901717,0.45553822152886114,6.697867914716588
N952DN,8.141409691629956,16.319823788546255,0.06475770925110132,6.49295154185022
N952FR,12.421985815602836,16.06028368794326,5.7695035460992905,10.695035460992909
N952JB,17.60135135135135,19.445945945945947,11.13943488943489,8.191646191646191
N952LR,11.194361615613987,17.558959067497966,9.569802114394145,7.944700460829493
N952NN,9.978568366909558,18.720102871838833,5.4089155593656235,10.394342048864123
N952SW,16.110460473782272,20.699228107532605,13.542720255523024,8.200425871706148
N952UW,9.019632678910703,21.589930335655477,4.047815072830906,7.2780240658644715
N952WN,9.557999536929845,12.183144246353322,2.6487612873350312,5.106043065524427
N953AN,12.426463354648304,18.842597147073292,8.192326610919823,9.833743236596163
N953AT,7.078477306002928,16.336163982430453,-0.5923865300146413,7.12298682284041
N953DL,7.6803680981595095,15.978220858895705,1.6450920245398772,6.765337423312883
