origin_airport_id,dest_airport_id,fl_dayofweek,dep_delay,arr_delay,carrier_delay,nas_delay,late_aircraft_delay,weather_delay,security_delay,isCarrier,traffic
10140,10397,0,-4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,3
10140,10397,1,3.0,-2.0,0.0,0.0,0.0,0.0,0.0,1.0,5
10140,10397,2,-1.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,3
10140,10397,3,9.0,-5.5,0.0,0.0,0.0,0.0,0.0,1.0,2
10140,10397,4,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.6,5
10140,10397,5,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.6,5
10140,10397,6,13.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,7
10140,10423,0,1.5,-3.5,0.0,0.0,0.0,0.0,0.0,0.75,4
10140,10423,1,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1
10140,10423,2,44.5,38.5,0.0,9.0,32.0,0.0,0.0,0.5,2
10140,10423,3,9.5,2.5,0.0,0.0,0.0,0.0,0.0,1.0,2
10140,10423,4,16.0,15.0,0.0,0.0,0.0,0.0,0.0,0.6,5
10140,10423,5,4.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1
10140,10423,6,11.0,6.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,9
10140,10821,0,3.0,-1.0,0.0,0.0,0.0,0.0,0.0,1.0,3
10140,10821,1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5
10140,10821,2,6.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.7777777777777778,9
10140,10821,3,3.0,-4.0,0.0,0.0,0.0,0.0,0.0,1.0,8
10140,10821,4,4.0,4.5,0.0,0.0,0.0,0.0,0.0,1.0,4
10140,10821,5,9.0,4.0,0.0,0.0,0.0,0.0,0.0,0.7777777777777778,9
10140,10821,6,4.0,19.0,0.0,0.0,0.0,0.0,0.0,0.4444444444444444,9
10140,11259,0,21.5,17.5,0.0,0.0,0.0,0.0,0.0,0.5,16
10140,11259,1,6.0,-0.5,0.0,0.0,0.0,0.0,0.0,0.7777777777777778,18
10140,11259,2,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.8461538461538461,13
10140,11259,3,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.6,30
10140,11259,4,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7647058823529411,17
10140,11259,5,4.0,1.5,0.0,0.0,0.0,0.0,0.0,0.875,8
10140,11259,6,8.0,12.0,0.0,0.0,0.0,0.0,0.0,0.6153846153846154,13
10140,11292,0,19.0,9.0,0.0,0.0,0.0,0.0,0.0,0.6111111111111112,18
10140,11292,1,18.5,23.5,0.0,0.0,0.0,0.0,0.0,0.5416666666666666,24
10140,11292,2,14.0,8.0,0.0,0.0,0.0,0.0,0.0,0.76,25
