origin_airport_id,fl_month,dep_delay,arr_delay,carrier_delay,nas_delay,late_aircraft_delay,weather_delay,security_delay,isWeather,isSecurity
10146,11,14.5,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10146,12,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.024390243902439025,0.0
10154,5,41.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333
10154,6,20.0,20.5,0.0,0.0,0.0,0.0,0.0,0.013157894736842105,0.013157894736842105
10154,7,24.5,30.0,0.0,0.0,0.0,0.0,0.0,0.014492753623188406,0.0
10154,8,25.0,33.0,0.0,2.0,0.0,0.0,0.0,0.003067484662576687,0.003067484662576687
10154,9,22.0,29.0,0.0,0.0,0.0,0.0,0.0,0.014084507042253521,0.0
10154,10,27.0,31.0,0.0,4.0,0.0,0.0,0.0,0.07692307692307693,0.0
10155,1,9.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0196078431372549,0.0
10155,2,12.0,16.0,0.0,0.0,0.0,0.0,0.0,0.05454545454545454,0.0
10155,3,3.0,11.0,0.0,0.0,0.0,0.0,0.0,0.03636363636363636,0.0
10155,4,11.0,8.0,0.0,0.0,0.0,0.0,0.0,0.015873015873015872,0.0
10155,5,12.0,15.0,0.0,0.0,0.0,0.0,0.0,0.011235955056179775,0.0
10155,6,10.0,12.0,0.0,0.0,0.0,0.0,0.0,0.02912621359223301,0.0
10155,7,9.0,12.0,0.0,0.0,0.0,0.0,0.0,0.018691588785046728,0.0
10155,8,8.0,11.0,0.0,0.0,0.0,0.0,0.0,0.03614457831325301,0.0
10155,9,3.0,12.0,0.0,0.0,0.0,0.0,0.0,0.04918032786885246,0.0
10155,10,14.0,18.0,0.0,0.0,0.0,0.0,0.0,0.03896103896103896,0.0
10155,11,2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0136986301369863,0.0
10155,12,9.0,13.0,0.0,0.0,0.0,0.0,0.0,0.04938271604938271,0.012345679012345678
10157,1,27.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10157,2,11.0,24.0,0.0,0.0,0.0,0.0,0.0,0.01694915254237288,0.0
10157,3,13.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01098901098901099
10157,4,18.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10157,5,21.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01639344262295082
10157,6,20.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10157,7,17.0,21.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0
10157,8,13.5,22.0,0.0,0.0,0.0,0.0,0.0,0.008064516129032258,0.0
10157,9,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.019417475728155338,0.0
10157,10,23.0,26.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.0
10157,11,34.0,35.5,0.0,0.0,0.0,0.0,0.0,0.01,0.0
10157,12,27.0,26.0,0.0,0.0,0.0,0.0,0.0,0.008130081300813009,0.0
10158,1,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0234375,0.0
10158,2,8.0,12.0,0.0,0.0,0.0,0.0,0.0,0.010309278350515464,0.0
10158,3,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10158,4,6.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10158,5,7.5,13.0,0.0,0.0,0.0,0.0,0.0,0.017543859649122806,0.0
10158,6,10.0,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10158,7,10.0,13.0,0.0,0.0,0.0,0.0,0.0,0.027210884353741496,0.0
10158,8,11.0,16.5,0.0,0.0,0.0,0.0,0.0,0.006666666666666667,0.0
10158,9,7.0,6.5,0.0,0.0,0.0,0.0,0.0,0.013157894736842105,0.0
10158,10,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10158,11,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10158,12,6.0,12.0,0.0,0.0,0.0,0.0,0.0,0.019736842105263157,0.0
10165,1,14.5,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10165,2,14.0,15.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666
10165,3,28.0,31.0,0.0,0.0,0.0,0.0,7.0,0.14285714285714285,0.42857142857142855
10165,4,24.5,25.0,0.0,1.0,0.0,0.0,24.0,0.0,0.75
10165,5,0.5,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10165,6,41.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2
10165,7,8.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.375
10165,8,24.0,15.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.2727272727272727
10165,9,12.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375
10165,10,20.0,14.0,0.0,0.0,0.0,0.0,8.5,0.0,0.4
10165,11,28.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45454545454545453
10165,12,19.0,23.5,0.0,6.0,0.0,0.0,7.0,0.0,0.25
10170,1,10.5,12.5,0.0,0.0,0.0,0.0,0.0,0.05,0.0
10170,2,12.0,15.0,0.0,0.0,8.5,0.0,0.0,0.0,0.0
10170,3,8.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10170,4,10.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10170,5,6.5,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05
10170,6,9.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10170,7,5.5,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10170,8,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.023255813953488372,0.0
10170,9,5.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842
10170,10,15.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10170,11,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06896551724137931
10170,12,15.0,15.5,0.0,0.0,0.0,0.0,0.0,0.09375,0.03125
10185,1,3.5,13.0,0.0,0.0,0.0,0.0,0.0,0.013513513513513514,0.0
10185,2,7.0,18.0,0.0,0.0,0.0,0.0,0.0,0.03773584905660377,0.0
10185,3,5.0,16.0,0.0,0.0,0.0,0.0,0.0,0.02027027027027027,0.0
10185,4,4.5,12.0,0.0,0.0,0.0,0.0,0.0,0.04225352112676056,0.007042253521126761
10185,5,6.0,16.0,0.0,0.0,0.0,0.0,0.0,0.05806451612903226,0.0064516129032258064
10185,6,14.0,21.5,0.0,0.0,0.0,0.0,0.0,0.056962025316455694,0.0
10185,7,13.0,14.0,0.0,0.0,0.0,0.0,0.0,0.06870229007633588,0.0
10185,8,6.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0072992700729927005,0.0
10185,9,7.0,16.0,0.0,0.0,0.0,0.0,0.0,0.019867549668874173,0.0
10185,10,8.0,21.5,0.0,0.0,0.0,0.0,0.0,0.0375,0.0
10185,11,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.012121212121212121,0.0
10185,12,8.0,14.0,0.0,0.0,0.0,0.0,0.0,0.04081632653061224,0.0
10208,1,7.5,9.5,0.0,0.0,0.0,0.0,0.0,0.017241379310344827,0.0
10208,2,9.0,10.0,0.0,0.0,0.0,0.0,0.0,0.015810276679841896,0.0
10208,3,7.5,11.0,0.0,0.0,0.0,0.0,0.0,0.0032679738562091504,0.0
10208,4,13.0,10.0,0.0,0.0,0.0,0.0,0.0,0.00554016620498615,0.0
10208,5,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.02112676056338028,0.0
10208,6,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.033444816053511704,0.0
10208,7,11.0,12.0,0.0,0.0,0.0,0.0,0.0,0.012698412698412698,0.0
10208,8,10.0,13.0,0.0,0.0,0.0,0.0,0.0,0.036065573770491806,0.0
10208,9,7.5,8.0,0.0,0.0,0.0,0.0,0.0,0.009523809523809525,0.0
10208,10,4.0,9.0,0.0,0.0,0.0,0.0,0.0,0.01486988847583643,0.0
10208,11,9.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0149812734082397,0.0
10208,12,7.0,8.0,0.0,0.0,0.0,0.0,0.0,0.00816326530612245,0.004081632653061225
10245,6,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
