origin_airport_id,dest_airport_id,fl_dayofweek,dep_delay,arr_delay,carrier_delay,nas_delay,late_aircraft_delay,weather_delay,security_delay,isCarrier,traffic
10135,10397,0,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0.6428571428571429,112
10135,10397,1,4.5,11.5,0.0,0.0,0.0,0.0,0.0,0.62,100
10135,10397,2,2.0,12.5,0.0,0.0,0.0,0.0,0.0,0.5882352941176471,102
10135,10397,3,3.0,7.5,0.0,0.0,0.0,0.0,0.0,0.7037037037037037,108
10135,10397,4,5.5,12.5,0.0,0.0,0.0,0.0,0.0,0.6481481481481481,108
10135,10397,5,0.0,10.5,0.0,0.0,0.0,0.0,0.0,0.6730769230769231,52
10135,10397,6,8.0,19.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,105
10135,10693,0,12.0,52.0,0.0,6.0,0.0,0.0,0.0,0.4,5
10135,10693,1,16.0,23.0,6.0,7.0,10.0,0.0,0.0,0.0,1
10135,10693,3,116.0,122.0,74.0,7.0,10.0,0.0,0.0,0.6666666666666666,3
10135,10693,4,57.0,54.5,0.0,1.0,5.0,0.0,0.0,0.3,10
10135,10693,5,78.0,101.0,76.0,23.0,2.0,0.0,0.0,1.0,1
10135,10693,6,9.5,17.5,0.0,0.5,16.5,0.0,0.0,0.5,2
10135,11057,0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.6875,112
10135,11057,1,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.7545454545454545,110
10135,11057,2,8.0,8.5,0.0,0.0,0.0,0.0,0.0,0.6574074074074074,108
10135,11057,3,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.6893203883495146,103
10135,11057,4,9.0,9.5,0.0,0.0,0.0,0.0,0.0,0.646551724137931,116
10135,11057,5,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.7631578947368421,76
10135,11057,6,7.5,10.0,0.0,0.0,0.0,0.0,0.0,0.7,90
10135,11433,0,14.0,13.5,0.0,0.0,0.0,0.0,0.0,0.575,120
10135,11433,1,10.0,15.0,0.0,0.0,0.0,0.0,0.0,0.6039603960396039,101
10135,11433,2,12.0,15.0,0.0,0.0,0.0,0.0,0.0,0.6019417475728155,103
10135,11433,3,15.0,14.0,0.0,0.0,0.0,0.0,0.0,0.6261682242990654,107
10135,11433,4,14.0,13.5,0.0,0.0,0.0,0.0,0.0,0.5849056603773585,106
10135,11433,5,1.5,7.0,0.0,0.0,0.0,0.0,0.0,0.782608695652174,46
10135,11433,6,12.0,10.0,0.0,0.0,0.0,0.0,0.0,0.7345132743362832,113
10135,11697,0,28.0,37.5,0.0,0.0,17.0,0.0,0.0,0.3125,16
10135,11697,1,3.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,1
10135,11697,2,13.0,18.0,0.0,0.0,0.0,0.0,0.0,0.5238095238095238,21
10135,11697,4,46.0,40.0,0.0,6.5,33.5,0.0,0.0,0.1875,16
10135,11697,5,12.0,18.0,0.0,0.0,0.0,0.0,0.0,0.5483870967741935,31
10135,13577,0,19.0,13.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,15
10135,13577,1,10.5,8.5,0.0,1.0,9.5,0.0,0.0,0.5,2
10135,13577,2,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.7777777777777778,9
10135,13577,4,10.0,6.0,0.0,0.0,0.0,0.0,0.0,0.7647058823529411,17
10135,13577,5,79.0,79.0,0.0,0.0,13.0,0.0,0.0,0.45454545454545453,11
10135,13930,0,17.0,26.0,0.0,0.0,0.0,0.0,0.0,0.4715447154471545,123
10135,13930,1,17.0,25.0,0.0,0.0,0.0,0.0,0.0,0.514018691588785,107
10135,13930,2,15.0,20.0,0.0,0.0,0.0,0.0,0.0,0.5607476635514018,107
10135,13930,3,9.5,18.0,0.0,0.0,0.0,0.0,0.0,0.5363636363636364,110
10135,13930,4,20.0,22.0,0.0,0.0,0.0,0.0,0.0,0.5726495726495726,117
10135,13930,5,6.0,10.0,0.0,0.0,0.0,0.0,0.0,0.6788990825688074,109
10135,13930,6,19.0,18.0,0.0,0.0,0.0,0.0,0.0,0.5813953488372093,129
10135,14082,0,6.0,16.0,0.0,0.0,0.0,0.0,0.0,0.6216216216216216,37
10135,14082,1,13.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,3
10135,14082,2,13.0,14.0,0.0,0.0,0.0,0.0,0.0,0.5384615384615384,39
10135,14082,4,17.0,16.0,0.0,0.0,0.0,0.0,0.0,0.5405405405405406,37
10135,14082,5,13.5,17.0,0.0,1.5,0.0,0.0,0.0,0.5,6
10135,14082,6,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1
10135,14100,0,13.0,20.0,0.0,0.0,0.0,0.0,0.0,0.5280898876404494,89
10135,14100,1,13.0,24.0,0.0,0.0,0.0,0.0,0.0,0.4230769230769231,78
10135,14100,2,6.0,21.0,0.0,0.0,0.0,0.0,0.0,0.46835443037974683,79
10135,14100,3,6.0,14.0,0.0,0.0,0.0,0.0,0.0,0.5569620253164557,79
10135,14100,4,10.0,15.0,0.0,0.0,0.0,0.0,0.0,0.5555555555555556,81
10135,14100,5,8.0,11.0,0.0,0.0,0.0,0.0,0.0,0.6785714285714286,56
10135,14100,6,6.0,17.0,0.0,0.0,0.0,0.0,0.0,0.4492753623188406,69
10135,14112,0,6.5,16.0,0.0,3.5,0.0,0.0,0.0,0.5,4
10135,14112,1,12.0,22.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,15
