op_unique_carrier,branded_share,fl_dayofweek,dep_delay,arr_delay,carrier_delay,late_aircraft_delay,isCarrier
G4,0,2,11.0,13.0,0.0,0.0,0.6631609699094362
G4,0,3,12.0,14.0,0.0,0.0,0.642706296441142
G4,0,4,13.0,15.0,0.0,0.0,0.6332479973573375
G4,0,5,14.0,15.0,0.0,0.0,0.6426172242375386
G4,0,6,14.0,15.0,0.0,0.0,0.6340009932130442
G7,1,0,19.0,20.0,0.0,0.0,0.5632123673522861
G7,1,1,17.0,19.0,0.0,0.0,0.5748521158804792
G7,1,2,16.0,18.0,0.0,0.0,0.602227171492205
G7,1,3,18.0,20.0,0.0,0.0,0.5785734187796043
G7,1,4,19.0,21.0,0.0,0.0,0.5667405150927721
G7,1,5,12.0,16.0,0.0,0.0,0.6437943643794365
G7,1,6,15.0,18.0,0.0,0.0,0.5920693530261679
HA,0,0,4.0,6.0,0.0,0.0,0.8980498996271867
HA,0,1,3.0,6.0,0.0,0.0,0.9081939081939082
HA,0,2,3.0,6.0,0.0,0.0,0.9099333912539821
HA,0,3,4.0,6.0,0.0,0.0,0.9085151301900071
HA,0,4,4.0,7.0,0.0,0.0,0.8615261777118741
HA,0,5,4.0,7.0,0.0,0.0,0.8853217440067292
HA,0,6,4.0,6.0,0.0,0.0,0.8999115566037735
KS,1,0,14.0,18.0,0.0,0.0,0.612565445026178
KS,1,1,12.0,15.0,0.0,0.0,0.675
KS,1,2,11.0,15.0,0.0,0.0,0.6844660194174758
KS,1,3,12.0,17.0,0.0,0.0,0.6318181818181818
KS,1,4,12.0,17.0,0.0,0.0,0.6010362694300518
KS,1,5,10.0,16.5,0.0,0.0,0.6071428571428571
KS,1,6,13.0,21.0,0.0,0.0,0.6596858638743456
MQ,1,0,11.0,15.0,0.0,0.0,0.5840215959122024
MQ,1,1,8.0,14.0,0.0,0.0,0.6032468463302753
MQ,1,2,8.0,14.0,0.0,0.0,0.6056124109499873
MQ,1,3,8.0,13.0,0.0,0.0,0.6149159804512285
MQ,1,4,9.0,13.0,0.0,0.0,0.6196859316820463
MQ,1,5,7.0,12.0,0.0,0.0,0.6595192637195868
MQ,1,6,9.0,13.0,0.0,0.0,0.6272183061173887
NK,0,0,11.0,13.0,0.0,0.0,0.6124043897572331
NK,0,1,10.0,13.0,0.0,0.0,0.6114416475972541
NK,0,2,9.0,12.0,0.0,0.0,0.6249834677952651
NK,0,3,10.0,12.0,0.0,0.0,0.6211338743544634
NK,0,4,10.0,12.0,0.0,0.0,0.62474679270763
NK,0,5,10.0,10.0,0.0,0.0,0.6680669673194539
NK,0,6,10.0,11.0,0.0,0.0,0.6362097150864082
OH,1,0,11.0,12.0,0.0,0.0,0.6594651966994214
OH,1,1,10.0,12.0,0.0,0.0,0.6552908506284713
OH,1,2,8.0,10.0,0.0,0.0,0.6805094130675526
OH,1,3,10.0,12.0,0.0,0.0,0.6597773138482951
OH,1,4,11.0,12.0,0.0,0.0,0.6541518578352181
OH,1,5,9.0,9.0,0.0,0.0,0.7217863333637442
OH,1,6,11.0,12.0,0.0,0.0,0.6641863127392409
OO,1,0,11.0,15.0,0.0,0.0,0.616422647145105
OO,1,1,10.0,13.0,0.0,0.0,0.6342630894693299
OO,1,2,9.0,13.0,0.0,0.0,0.6388335579120042
OO,1,3,9.0,13.0,0.0,0.0,0.6314302335244744
OO,1,4,9.0,13.0,0.0,0.0,0.638940642294263
OO,1,5,7.0,12.0,0.0,0.0,0.6735794517624693
OO,1,6,10.0,13.0,0.0,0.0,0.638935258290097
PT,1,0,13.0,16.0,0.0,0.0,0.592679794520548
PT,1,1,12.0,16.0,0.0,0.0,0.5815774958632102
PT,1,2,9.0,14.0,0.0,0.0,0.6032915180112787
PT,1,3,11.0,14.0,0.0,0.0,0.6024471173786811
PT,1,4,13.0,17.0,0.0,0.0,0.5620506999621642
PT,1,5,12.0,14.0,0.0,0.0,0.6434406535319558
PT,1,6,15.0,17.0,0.0,0.0,0.57446335224113
QX,1,0,6.0,10.0,0.0,0.0,0.6903259726603576
QX,1,1,5.0,9.0,0.0,0.0,0.7134416543574594
QX,1,2,5.0,9.0,0.0,0.0,0.7201374698123723
QX,1,3,6.0,9.0,0.0,0.0,0.7004027765875397
QX,1,4,6.0,11.0,0.0,0.0,0.6700920749753371
QX,1,5,4.0,7.0,0.0,0.0,0.7774009930967664
QX,1,6,5.0,8.0,0.0,0.0,0.7380220216248388
UA,0,0,10.0,14.0,0.0,0.0,0.6119213490461619
UA,0,1,9.0,13.0,0.0,0.0,0.6167441860465116
UA,0,2,8.0,13.0,0.0,0.0,0.6172997989966724
UA,0,3,9.0,14.0,0.0,0.0,0.6058356595917221
UA,0,4,9.0,13.0,0.0,0.0,0.6218142651228359
UA,0,5,9.0,10.0,0.0,0.0,0.6851400859786959
UA,0,6,9.0,12.0,0.0,0.0,0.6349148983771319
VX,0,0,5.0,9.0,0.0,0.0,0.7135862913096696
VX,0,1,5.0,10.0,0.0,0.0,0.6915629322268326
VX,0,2,10.0,15.0,0.0,0.0,0.6065217391304348
VX,0,3,9.0,15.0,0.0,0.0,0.6036772216547498
VX,0,4,11.0,15.0,0.0,0.0,0.6325910931174089
VX,0,5,6.0,8.0,0.0,0.0,0.7578947368421053
VX,0,6,7.0,9.0,0.0,0.0,0.6877323420074349
WN,0,0,10.0,6.0,0.0,0.0,0.7599896387756486
WN,0,1,9.0,6.0,0.0,0.0,0.7735015402286848
WN,0,2,10.0,6.0,0.0,0.0,0.7698350605376565
WN,0,3,11.0,7.0,0.0,0.0,0.7371631693613118
WN,0,4,10.0,7.0,0.0,0.0,0.7512636973168946
WN,0,5,9.0,5.0,0.0,0.0,0.7985899873257287
WN,0,6,10.0,6.0,0.0,0.0,0.7574942574588692
YV,1,0,11.0,15.0,0.0,0.0,0.6504278816273844
YV,1,1,9.0,14.0,0.0,0.0,0.6603832050818571
YV,1,2,9.0,14.0,0.0,0.0,0.6498092586864626
YV,1,3,9.0,14.0,0.0,0.0,0.651731761238025
YV,1,4,11.0,15.0,0.0,0.0,0.6541449549976315
YV,1,5,10.0,13.0,0.0,0.0,0.6810956654349228
YV,1,6,10.0,14.0,0.0,0.0,0.6709889781058301
YX,1,0,10.0,15.0,0.0,0.0,0.5881915947360974
YX,1,1,9.0,16.0,0.0,0.0,0.5618427454062348
YX,1,2,8.0,15.0,0.0,0.0,0.5852841536294774
YX,1,3,10.0,16.0,0.0,0.0,0.5689048374853357
YX,1,4,11.0,16.0,0.0,0.0,0.5729849626512705
YX,1,5,6.0,11.0,0.0,0.0,0.6847922454045747
YX,1,6,8.0,13.0,0.0,0.0,0.6199558842610614
ZW,1,0,16.0,21.0,0.0,0.0,0.5580723961803242
ZW,1,1,16.0,20.0,0.0,0.0,0.5659432387312187
ZW,1,2,11.0,17.0,0.0,0.0,0.5983064302725589
ZW,1,3,13.0,18.0,0.0,0.0,0.584496320730779
ZW,1,4,11.0,17.0,0.0,0.0,0.6078121197371623
ZW,1,5,13.0,17.0,0.0,0.0,0.6146312509274373
ZW,1,6,13.0,19.0,0.0,0.0,0.5882647943831495
