holidate,origin_airport_id,dest_airport_id,dep_delay,arr_delay,carrier_delay,nas_delay,late_aircraft_delay,weather_delay,security_delay,cancelled
0,10135,10397,-3.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10135,10693,-7.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10135,11057,-5.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10135,11433,-3.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10135,11697,5.0,14.5,0.0,0.0,0.0,0.0,0.0,0.0
0,10135,13577,-8.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10135,13930,-4.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10135,14082,-3.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10135,14100,-7.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10135,14112,-5.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10135,14685,-12.0,-15.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10135,14761,-3.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10136,11298,-4.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10140,10397,-2.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10140,10423,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10140,10821,1.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10140,11259,0.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10140,11292,-2.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10140,11298,-4.0,-8.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10140,12191,0.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10140,12266,-5.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10140,12478,-1.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10140,12889,-1.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10140,12892,-4.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10140,13198,0.0,-6.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10140,13204,-2.0,-9.0,0.0,0.0,0.0,0.0,0.0,0.0
