holidate,origin_airport_id,dest_airport_id,dep_delay,arr_delay,carrier_delay,nas_delay,late_aircraft_delay,weather_delay,security_delay,isWeather,isSecurity
0,10158,11697,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.010256410256410256,0.0
0,10158,13204,6.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0022222222222222222,0.0
0,10158,13495,4.0,20.0,0.0,1.0,0.0,0.0,0.0,0.0,0.03333333333333333
0,10158,13577,1.5,8.5,0.0,0.0,0.0,0.0,0.0,0.02564102564102564,0.0
0,10158,14027,6.5,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10158,14635,8.5,12.0,0.0,0.0,0.0,0.0,0.0,0.013986013986013986,0.0034965034965034965
0,10158,15304,8.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10165,10299,21.0,17.0,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.3888888888888889
0,10170,10299,7.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0125
0,10185,10397,14.0,15.0,0.0,0.0,0.0,0.0,0.0,0.04776119402985075,0.0
0,10185,11298,8.0,13.0,0.0,0.0,0.0,0.0,0.0,0.03834355828220859,0.0015337423312883436
0,10185,12266,-4.0,19.0,0.0,0.0,0.0,0.0,0.0,0.016100178890876567,0.0
0,10208,10397,8.0,12.0,0.0,0.0,0.0,0.0,0.0,0.018541409147095178,0.0
0,10208,11057,9.0,10.0,0.0,0.0,0.0,0.0,0.0,0.014959723820483314,0.0
0,10208,11278,58.0,56.0,1.0,0.0,47.0,0.0,0.0,0.0,0.0
0,10208,11298,14.0,7.0,0.0,0.0,0.0,0.0,0.0,0.039735099337748346,0.0
0,10208,12953,29.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10208,13303,56.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10208,13930,43.5,37.5,1.5,0.0,32.0,0.0,0.0,0.0,0.0
0,10208,14100,29.0,26.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0
0,10245,10299,7.5,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
0,10257,10397,7.0,7.5,0.0,0.0,0.0,0.0,0.0,0.01937984496124031,0.001937984496124031
0,10257,10821,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.004651162790697674,0.0009302325581395349
0,10257,11057,7.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0055762081784386614,0.0
0,10257,11278,13.0,15.0,0.0,0.0,0.0,0.0,0.0,0.017857142857142856,0.0012755102040816326
0,10257,11292,12.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0038314176245210726,0.0
0,10257,11433,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.010327022375215147,0.0
0,10257,11618,20.0,24.0,0.0,0.0,0.0,0.0,0.0,0.018292682926829267,0.0
0,10257,11697,15.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10257,12264,17.0,19.5,0.0,0.0,0.0,0.0,0.0,0.02857142857142857,0.0
0,10257,12889,2.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10257,13204,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0112079701120797,0.0
0,10257,13232,6.5,6.0,0.0,0.0,0.0,0.0,0.0,0.011627906976744186,0.0
0,10257,13487,-1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.017094017094017096,0.0
0,10257,13577,32.5,30.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0
0,10257,13930,7.0,16.0,0.0,0.0,0.0,0.0,0.0,0.01699029126213592,0.0
0,10257,14082,0.0,11.5,0.0,0.0,0.0,0.0,0.0,0.03125,0.0
0,10257,14100,11.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0160481444332999,0.0
0,10257,14112,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.0
0,10257,14492,9.5,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10257,14635,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10257,14685,0.0,8.5,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0
0,10257,14761,16.0,18.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0
0,10257,15304,5.0,6.5,0.0,0.0,0.0,0.0,0.0,0.003355704697986577,0.0
0,10268,13930,9.0,15.5,0.0,0.0,0.0,0.0,0.0,0.024390243902439025,0.0
0,10275,14747,6.0,9.0,0.0,0.0,0.0,0.0,0.0,0.024205748865355523,0.0015128593040847202
0,10279,11259,8.0,7.0,0.0,0.0,0.0,0.0,0.0,0.005291005291005291,0.0026455026455026454
0,10279,11292,10.0,17.0,0.0,0.0,0.0,0.0,0.0,0.01935483870967742,0.0
0,10279,11298,12.0,14.0,0.0,0.0,0.0,0.0,0.0,0.023651145602365115,0.0007390983000739098
0,10279,12191,19.0,9.5,1.5,0.0,10.0,0.0,0.0,0.0,0.0
0,10279,12266,7.0,15.0,0.0,0.0,0.0,0.0,0.0,0.012915129151291513,0.0
0,10279,12889,12.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00425531914893617
0,10279,14107,-3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10299,10165,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0.022222222222222223,0.0
0,10299,10170,5.0,11.0,0.0,0.0,0.0,0.0,0.0,0.07120743034055728,0.0
0,10299,10245,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10299,10397,13.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10299,10551,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.052805280528052806,0.0
0,10299,10666,7.5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10299,10926,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0033112582781456954,0.0
0,10299,11292,11.5,11.0,0.0,0.0,0.0,0.0,0.0,0.0035714285714285713,0.0
0,10299,11298,18.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0070921985815602835
0,10299,11336,16.5,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10299,11445,2.0,21.0,0.0,3.0,0.0,0.0,0.0,0.04898446833930705,0.0
0,10299,11618,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10299,11630,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.004282655246252677,0.0
0,10299,12173,3.0,11.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0
0,10299,12266,21.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10299,12523,5.0,9.0,0.0,0.0,0.0,0.0,0.0,0.013793103448275862,0.0
