op_unique_carrier,branded_share,fl_dayofweek,dep_delay,arr_delay,carrier_delay,late_aircraft_delay,isCarrier
PT,1,3,11.0,14.0,0.0,0.0,0.6143039591315453
PT,1,4,14.0,17.0,0.0,0.0,0.5455580865603644
PT,1,5,15.0,14.0,0.0,0.0,0.649706457925636
PT,1,6,15.0,17.0,0.0,0.0,0.5909090909090909
QX,1,0,6.0,10.0,0.0,0.0,0.6807851239669421
QX,1,1,5.0,10.0,0.0,0.0,0.7037457434733257
QX,1,2,5.0,9.0,0.0,0.0,0.7198581560283688
QX,1,3,5.0,9.0,0.0,0.0,0.7189542483660131
QX,1,4,7.0,11.0,0.0,0.0,0.6723646723646723
QX,1,5,5.5,9.0,0.0,0.0,0.753731343283582
QX,1,6,5.0,9.0,0.0,0.0,0.7351543942992874
UA,0,0,10.0,13.0,0.0,0.0,0.6221058989329575
UA,0,1,9.0,13.0,0.0,0.0,0.6153021860265753
UA,0,2,8.0,12.0,0.0,0.0,0.6276133305733802
UA,0,3,9.0,13.0,0.0,0.0,0.6053452984783457
UA,0,4,9.0,13.0,0.0,0.0,0.6198039215686274
UA,0,5,8.0,10.0,0.0,0.0,0.6876487701666226
UA,0,6,9.0,12.0,0.0,0.0,0.640475684858781
VX,0,0,7.0,6.5,0.0,0.0,0.7857142857142857
VX,0,1,5.0,13.0,0.0,0.0,0.6610169491525424
VX,0,2,10.5,14.5,0.0,0.0,0.6538461538461539
VX,0,3,18.0,12.0,0.0,0.0,0.68
VX,0,4,10.0,14.0,0.0,0.0,0.5753424657534246
VX,0,5,5.0,9.0,0.0,0.0,0.7254901960784313
VX,0,6,5.0,8.0,0.0,0.0,0.7222222222222222
WN,0,0,10.0,6.0,0.0,0.0,0.7627067894303465
WN,0,1,9.0,6.0,0.0,0.0,0.7787786989795918
WN,0,2,10.0,6.0,0.0,0.0,0.766584960860283
WN,0,3,10.0,7.0,0.0,0.0,0.7403595347197744
WN,0,4,10.0,7.0,0.0,0.0,0.7513332859276115
WN,0,5,9.0,5.0,0.0,0.0,0.801015033994063
WN,0,6,10.0,7.0,0.0,0.0,0.7568135804391839
YV,1,0,11.0,15.0,0.0,0.0,0.6559633027522935
YV,1,1,9.0,14.0,0.0,0.0,0.6566383257030739
YV,1,2,8.0,14.0,0.0,0.0,0.6380713838447089
YV,1,3,9.0,14.0,0.0,0.0,0.6505148394912175
YV,1,4,11.0,16.0,0.0,0.0,0.6441159749857874
YV,1,5,9.0,13.0,0.0,0.0,0.6907366885485048
YV,1,6,9.0,13.0,0.0,0.0,0.6826983135540288
YX,1,0,10.0,16.0,0.0,0.0,0.588583509513742
YX,1,1,9.0,16.0,0.0,0.0,0.5591446769790719
YX,1,2,7.0,15.0,0.0,0.0,0.5770823745973309
YX,1,3,10.0,16.0,0.0,0.0,0.5718462823725982
YX,1,4,9.0,15.0,0.0,0.0,0.5872069924513309
YX,1,5,7.0,11.0,0.0,0.0,0.6890021849963583
YX,1,6,7.0,13.0,0.0,0.0,0.6269510926118627
ZW,1,0,18.0,23.0,0.0,0.0,0.573187414500684
ZW,1,1,16.0,19.0,0.0,0.0,0.5897079276773296
ZW,1,2,10.0,17.0,0.0,0.0,0.6045016077170418
ZW,1,3,12.0,17.5,0.0,0.0,0.5848484848484848
ZW,1,4,10.0,15.0,0.0,0.0,0.617737003058104
ZW,1,5,13.0,16.0,0.0,0.0,0.6227436823104693
ZW,1,6,16.0,22.0,0.0,0.0,0.5567164179104478
