holidate,origin_airport_id,dest_airport_id,dep_delay,arr_delay,carrier_delay,nas_delay,late_aircraft_delay,weather_delay,security_delay,isWeather,isSecurity
0,10185,11298,13.0,18.0,0.0,0.0,0.0,0.0,0.0,0.08163265306122448,0.0
0,10185,12266,1.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10208,10397,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10208,11057,11.0,10.0,0.0,0.0,0.0,0.0,0.0,0.03418803418803419,0.0
0,10208,11278,47.5,48.0,5.0,2.5,40.5,0.0,0.0,0.0,0.0
0,10208,11298,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10245,10299,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10257,10397,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10257,10821,13.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10257,11057,13.5,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10257,11278,14.0,12.5,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0
0,10257,11292,13.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10257,11433,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10257,11618,20.0,27.0,0.0,0.0,0.0,0.0,0.0,0.028985507246376812,0.0
0,10257,11697,14.5,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10257,12264,11.5,11.5,0.0,0.0,0.0,0.0,0.0,0.075,0.0
0,10257,12889,9.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10257,13204,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10257,13232,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0.02564102564102564,0.0
0,10257,13487,-1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10257,13930,6.0,13.0,0.0,0.0,0.0,0.0,0.0,0.008333333333333333,0.0
0,10257,14082,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10257,14100,10.5,16.0,0.0,0.0,0.0,0.0,0.0,0.0125,0.0
0,10257,14112,-4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10257,14492,32.0,22.0,23.5,0.0,0.0,0.0,0.0,0.0,0.0
0,10257,14635,35.0,24.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
0,10257,14761,16.0,20.0,0.0,11.5,0.0,0.0,0.0,0.0,0.0
0,10257,15304,9.5,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10268,13930,9.0,20.0,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,0.0
0,10275,14747,8.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10279,11259,4.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10279,11292,12.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10279,11298,13.0,17.0,0.0,0.0,0.0,0.0,0.0,0.02654867256637168,0.0
0,10279,12266,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10279,12889,5.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0625
0,10279,14107,-7.0,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10299,10170,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10299,10245,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10299,10397,19.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10299,10551,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10299,10926,0.0,15.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
0,10299,11292,9.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10299,11298,120.0,127.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10299,11336,41.0,42.0,40.5,2.5,0.0,0.0,0.0,0.0,0.0
0,10299,11445,2.0,17.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0
0,10299,11618,-13.0,33.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0
0,10299,11630,6.5,10.0,0.0,0.0,0.0,0.0,0.0,0.02857142857142857,0.0
0,10299,12173,8.0,21.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
0,10299,12266,24.0,16.5,0.0,0.0,11.0,0.0,0.0,0.0,0.0
0,10299,12523,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10299,12892,6.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10299,13487,10.5,-2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10299,13830,12.5,14.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
0,10299,13873,7.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10299,13930,7.0,10.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10299,13970,1.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10299,14057,5.0,5.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10299,14107,4.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10299,14709,6.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10299,14747,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10299,14771,14.0,14.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0,10299,14869,42.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,10333,11433,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0
0,10333,14150,59.0,46.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0
0,10361,14100,10.5,15.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0
0,10372,10397,10.5,8.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0
