hour,taxi_time,average traffic
0,21.773885280875167,318.58493150684933
1,20.7244782352206,104.28493150684932
2,17.835389238142362,24.367123287671234
3,18.205481793526264,9.79041095890411
4,18.769428078137665,26.239726027397257
5,22.34049832793506,532.7794520547945
6,24.93821781779958,1862.4424657534246
7,25.553954413227586,2091.9698630136986
8,27.689714009431857,2481.147945205479
9,27.060694976690144,2394.445205479452
10,25.86865992528734,2752.7438356164384
11,24.6724279174899,2530.8753424657534
12,24.179380721951752,2708.6712328767126
13,23.897725914106772,2377.9150684931506
14,24.450633018197617,2706.479452054795
15,25.06553548903762,2438.7054794520545
16,24.603774460895565,2629.3671232876713
17,25.709821705254303,2598.6616438356164
18,26.32348831352061,2649.9342465753425
19,25.982097205451502,2376.9123287671237
20,26.251389949763638,2365.516438356164
21,25.344428488989593,1908.7534246575342
22,23.59328949409437,1678.2671232876714
23,22.84428153356413,1044.5342465753424
24,23.124181230472715,253.21643835616436
