hour,taxi_time,average traffic
0,21.946880110058036,3.2506849315068496
1,20.906518010291595,1.0315068493150685
2,17.735261401557285,0.2452054794520548
3,18.733333333333334,0.10684931506849314
4,18.697499999999998,0.25205479452054796
5,22.49878456186787,5.413698630136986
6,24.982963853669673,18.987671232876714
7,25.696247329388804,21.19041095890411
8,27.552491067629063,25.383561643835616
9,27.09990763309713,24.249315068493154
10,26.04999017812051,28.393150684931506
11,24.466845212335407,25.65068493150685
12,24.203582197755143,27.631506849315066
13,23.907977114677042,24.363013698630137
14,24.468767444225858,27.393150684931506
15,25.0561737301965,24.79041095890411
16,24.52602324712937,26.647945205479452
17,25.776814094003495,26.486301369863014
18,26.236257445328466,26.86849315068493
19,25.81067990702542,24.20821917808219
20,26.468535398612786,23.995890410958904
21,25.59108611686977,19.51095890410959
22,23.691628980818038,17.21780821917808
23,22.615333886407733,10.57945205479452
24,23.302852306777375,2.521917808219178
