hour,taxi_time,average traffic
0,21.713521859487383,3.2684931506849315
1,20.670374667877443,1.073972602739726
2,17.58708979444645,0.2273972602739726
3,19.37878787878788,0.08767123287671233
4,18.801098230628433,0.23835616438356166
5,22.336853117394682,5.345205479452055
6,25.192275380519277,19.075342465753423
7,25.713712428546817,21.63972602739726
8,27.625123525498022,25.25890410958904
9,26.844365026131523,24.04657534246575
10,25.873984356185833,28.063013698630137
11,24.535207513041037,25.613698630136987
12,24.09672247145285,27.48904109589041
13,23.80928355701611,24.33150684931507
14,24.29009104619906,27.613698630136987
15,24.939484630854658,24.68767123287671
16,24.61394849114039,26.82191780821918
17,25.601517949250336,26.628767123287673
18,26.338557467827137,26.912328767123288
19,25.87328929816384,24.365753424657534
20,26.36517223541539,24.163013698630138
21,25.327013572112484,19.302739726027397
22,23.54210930516744,16.936986301369863
23,22.507086728227414,10.647945205479452
24,22.916554721278224,2.53013698630137
