hour,taxi_time,average traffic
0,21.725686232130176,3.228767123287671
1,20.595124536301007,1.1273972602739726
2,16.847689075630253,0.24383561643835616
3,17.019886363636363,0.08904109589041095
4,20.291666666666668,0.26301369863013696
5,22.484683735868572,5.346575342465753
6,24.951766212026442,18.986301369863014
7,25.76164095605038,21.18767123287671
8,27.738888769970977,25.254794520547946
9,27.00935507300659,24.086301369863016
10,25.95307591691519,28.21095890410959
11,24.707593260046195,25.92876712328767
12,24.243889519931507,27.608219178082194
13,23.824939430692595,24.157534246575345
14,24.473427434970517,27.564383561643837
15,24.938873743152733,24.58904109589041
16,24.56261651052085,26.836986301369862
17,25.519214044863524,26.386301369863013
18,26.30443578268647,27.39041095890411
19,26.01120415178597,24.180821917808217
20,26.19329048591338,24.04794520547945
21,25.361809768908216,19.421917808219177
22,23.431782764656287,17.110958904109587
23,22.730975209288225,10.557534246575342
24,22.96449225075179,2.5643835616438357
