hour,taxi_time,average traffic
0,21.66806965737632,3.256164383561644
1,20.51232824427481,1.0082191780821919
2,18.179597701149426,0.273972602739726
3,19.285714285714285,0.0821917808219178
4,19.387298747763865,0.273972602739726
5,22.102192912241545,5.346575342465753
6,25.019147743362495,18.86986301369863
7,25.603713599369016,21.426027397260274
8,27.74628328679034,25.275342465753425
9,26.991843132556582,24.412328767123288
10,25.75785272116876,28.16849315068493
11,24.66050691819705,25.73698630136986
12,24.16502616164296,27.301369863013697
13,23.93905327064347,24.416438356164385
14,24.411546238829867,27.491780821917807
15,24.94813897975623,24.795890410958904
16,24.635977911028874,26.54931506849315
17,25.71635334218559,26.46849315068493
18,26.281114480620737,26.86164383561644
19,25.84225797808648,24.27123287671233
20,26.04012285868456,23.815068493150683
21,25.135474248292205,19.64109589041096
22,23.539593126788425,17.136986301369863
23,22.949962043745998,10.794520547945206
24,23.196474591951365,2.6958904109589037
