hour,taxi_time,average traffic
0,21.794230256492295,3.310958904109589
1,20.048758865248224,1.0643835616438355
2,17.875531914893617,0.23561643835616436
3,19.274428274428274,0.10684931506849316
4,17.793340671436432,0.25616438356164384
5,22.404151113735892,5.50958904109589
6,24.93205747617015,18.975342465753425
7,25.42770943683219,21.3986301369863
8,27.738154844659697,25.475342465753425
9,27.37920590391343,24.39178082191781
10,25.695636567494176,27.868493150684934
11,24.846762141920685,25.993150684931507
12,24.237549707955395,27.371232876712327
13,23.716077506474285,24.227397260273975
14,24.38996290540577,27.50958904109589
15,25.163626217006975,24.654794520547945
16,24.75672230463013,26.54931506849315
17,25.671393367441173,26.393150684931506
18,26.252436402349076,26.864383561643837
19,26.15717905205099,24.143835616438356
20,26.40969820911328,24.145205479452056
21,25.701836984068848,19.660273972602738
22,23.3896903941546,17.035616438356165
23,23.154344048146676,10.554794520547945
24,23.0516220632752,2.673972602739726
