hour,taxi_time,average traffic
0,28.666666666666668,0.030864197530864196
2,16.0,0.004629629629629629
5,24.997252747252748,0.06327160493827161
6,27.389473684210525,0.17901234567901234
7,26.27659574468085,0.22067901234567902
8,28.763832997987926,0.28858024691358025
9,28.216359196961477,0.2685185185185185
10,26.017182397760845,0.3626543209876543
11,23.95498199279712,0.31018518518518523
12,22.47713243546577,0.2700617283950617
13,24.687812187812188,0.2839506172839506
14,26.027173913043477,0.28240740740740744
15,25.24911268855368,0.2993827160493827
16,27.708014354066986,0.29012345679012347
17,24.37777777777778,0.26543209876543206
18,25.671228413163895,0.3055555555555556
19,26.644167758846656,0.2993827160493827
20,24.074269005847952,0.2962962962962963
21,23.9739652870494,0.2314814814814815
22,24.064893617021276,0.19753086419753085
23,20.06764705882353,0.12345679012345678
24,20.308823529411764,0.032407407407407406
