date,holidays
2018-01-01,New Year
2018-05-28,Memorial Day
2018-07-04,Independence Day
2018-09-03,Labor Day
2018-11-22,Thanksgiving
2018-12-25,Christmas
2019-01-01,New Year
2019-05-27,Memorial Day
2019-07-04,Independence Day
2019-09-02,Labor Day
2019-11-28,Thanksgiving
2019-12-25,Christmas
2020-01-01,New Year
2020-05-25,Memorial Day
2020-07-04,Independence Day
2020-09-07,Labor Day
2020-11-26,Thanksgiving
2020-12-25,Christmas
