dest,fl_month,arr_delay,carrier_delay,nas_delay,late_aircraft_delay,weather_delay,security_delay,cancelled
ABE,1,6.968051118210862,4.319488817891374,2.0415335463258786,6.479233226837061,1.194888178913738,0.006389776357827476,0.0
ABE,2,7.66955017301038,5.923875432525952,2.0069204152249136,6.484429065743945,1.9826989619377162,0.0,0.0
ABE,3,3.91399416909621,4.3425655976676385,2.978134110787172,3.246355685131195,0.4037900874635568,0.0,0.0
ABE,4,3.588310038119441,2.45997458703939,1.6848792884371029,4.98856416772554,1.2452350698856416,0.010165184243964422,0.0
ABE,5,3.189403973509934,3.976158940397351,1.6741721854304636,3.76158940397351,0.7364238410596027,0.005298013245033113,0.0
ABE,6,9.207616707616708,4.597051597051597,3.151105651105651,6.416461916461916,1.3230958230958232,0.04176904176904177,0.0
ABE,7,9.73388042203986,5.386869871043376,2.9894490035169987,6.487690504103165,1.6963657678780775,0.0,0.0
ABE,8,7.573127229488704,5.479191438763377,2.422116527942925,5.103448275862069,1.963139120095125,0.0,0.0
ABE,9,2.2374005305039786,3.0251989389920424,1.9774535809018567,4.36737400530504,1.1259946949602122,0.1830238726790451,0.0
ABE,10,0.15594059405940594,3.469059405940594,0.9826732673267327,3.5457920792079207,0.6027227722772277,0.0,0.0
ABE,11,3.6906005221932117,5.322454308093994,1.483028720626632,5.382506527415144,0.5757180156657964,0.020887728459530026,0.0
ABE,12,1.471671388101983,3.378186968838527,1.8101983002832862,4.577903682719547,0.29036827195467424,0.0056657223796034,0.0
ABI,1,4.44140625,1.7421875,0.5625,4.23046875,1.26171875,0.0,0.0
ABI,2,15.520547945205479,5.333333333333333,4.2465753424657535,7.397260273972603,0.6164383561643836,0.0,0.0
ABI,3,4.305439330543933,2.071129707112971,1.5271966527196652,3.711297071129707,0.6527196652719666,0.0,0.0
ABI,4,2.7701612903225805,1.403225806451613,0.8870967741935484,5.451612903225806,0.5161290322580645,0.0,0.0
ABI,5,6.738831615120275,2.88659793814433,1.9828178694158076,3.8006872852233675,1.5360824742268042,0.0,0.0
ABI,6,9.11111111111111,2.2007168458781363,2.888888888888889,5.415770609318996,0.9390681003584229,0.0,0.0
ABI,7,14.035971223021583,4.392086330935252,1.8741007194244603,8.848920863309353,1.4712230215827338,0.11151079136690648,0.0
ABI,8,5.9825174825174825,2.5944055944055946,1.020979020979021,4.793706293706293,0.8811188811188811,0.0,0.0
ABI,9,3.625441696113074,1.657243816254417,1.8303886925795052,4.385159010600707,0.7879858657243817,0.0,0.0
ABI,10,2.950877192982456,1.0701754385964912,2.280701754385965,3.533333333333333,1.3578947368421053,0.0,0.0
ABI,11,1.1942446043165467,1.5827338129496402,1.4496402877697843,2.172661870503597,0.08992805755395683,0.0,0.0
ABI,12,4.799295774647887,2.859154929577465,1.5528169014084507,4.630281690140845,0.49295774647887325,0.0,0.0
ABQ,1,0.2774153463808636,2.9431500465983222,0.8800869835352594,3.881018949984467,0.3078595837216527,0.02112457284871078,0.0
ABQ,2,8.847959552184903,4.406644998194294,2.1960996749729143,6.9176598049837486,0.723726977248104,0.0,0.0
ABQ,3,4.692802450229709,3.9892802450229707,1.0232771822358346,4.659724349157734,0.3473200612557427,0.009800918836140888,0.0
ABQ,4,3.98271679805943,4.250758035172832,1.0148574893875075,4.268041237113402,0.2692540933899333,0.010006064281382655,0.0
ABQ,5,5.988198042602187,4.714738054116292,1.6508347725964305,5.17328727691422,0.5037420840529648,0.04375359815774323,0.0
ABQ,6,9.160486995019369,4.785002767017155,1.745711123408965,6.861649142224682,0.7127836192584394,0.043995572772551186,0.0
ABQ,7,8.62066203950881,5.448478376935398,1.6425520555258943,5.751735184196476,0.9853176721836626,0.010678056593699947,0.0
ABQ,8,6.007295466388745,4.809015112037519,1.4405940594059405,5.120896300156331,0.2691505992704534,0.0706096925482022,0.0
ABQ,9,0.30139275766016715,2.823676880222841,0.9935933147632312,3.582451253481894,0.37604456824512533,0.03816155988857939,0.0
ABQ,10,4.867058195408435,4.082754938601175,1.5664709022957821,4.450347036839295,0.4655632674853177,0.0,0.0
ABQ,11,3.635967460778617,3.5438698431144684,1.4584543869843114,4.346600813480535,0.26060429982568273,0.013654851830331202,0.0
ABQ,12,5.286694510739856,4.497016706443914,1.3105608591885443,5.009844868735083,0.37291169451073986,0.012529832935560859,0.0
ABR,1,4.3882352941176475,8.435294117647059,1.0588235294117647,2.176470588235294,6.694117647058824,0.0,0.0
ABR,2,6.653846153846154,4.9743589743589745,3.1025641025641026,11.512820512820513,0.0,0.0,0.0
ABR,3,1.4772727272727273,1.1477272727272727,0.6022727272727273,6.488636363636363,0.0,0.0,0.0
ABR,4,-1.4883720930232558,0.627906976744186,3.0697674418604652,1.186046511627907,1.686046511627907,0.0,0.0
ABR,5,5.252631578947368,5.778947368421052,0.42105263157894735,0.3684210526315789,7.6947368421052635,0.0,0.0
ABR,6,2.4285714285714284,7.989795918367347,0.7755102040816326,1.3571428571428572,1.2551020408163265,0.0,0.0
ABR,7,-7.424242424242424,1.4242424242424243,2.414141414141414,0.696969696969697,0.0,0.0,0.0
ABR,8,0.47368421052631576,8.273684210526316,0.7263157894736842,1.5052631578947369,0.28421052631578947,0.0,0.0
ABR,9,-6.442105263157894,1.2210526315789474,0.21052631578947367,2.6842105263157894,0.0,0.0,0.0
ABR,10,-5.464285714285714,1.2232142857142858,1.3035714285714286,2.4464285714285716,0.0,0.0,0.0
ABR,11,-7.702970297029703,1.1782178217821782,1.4356435643564356,0.9405940594059405,0.31683168316831684,0.0,0.0
