op_unique_carrier,branded_share,fl_dayofweek,dep_delay,arr_delay,carrier_delay,late_aircraft_delay
KS,1,5,0.0,6.0,0.0,0.0
KS,1,6,2.0,5.0,0.0,0.0
MQ,1,0,-3.0,-4.0,0.0,0.0
MQ,1,1,-3.0,-5.0,0.0,0.0
MQ,1,2,-4.0,-5.0,0.0,0.0
MQ,1,3,-3.0,-4.0,0.0,0.0
MQ,1,4,-3.0,-4.0,0.0,0.0
MQ,1,5,-3.0,-7.0,0.0,0.0
MQ,1,6,-3.0,-5.0,0.0,0.0
NK,0,0,-3.0,-7.0,0.0,0.0
NK,0,1,-3.0,-7.0,0.0,0.0
NK,0,2,-3.0,-7.0,0.0,0.0
NK,0,3,-3.0,-6.0,0.0,0.0
NK,0,4,-3.0,-7.0,0.0,0.0
NK,0,5,-3.0,-8.0,0.0,0.0
NK,0,6,-3.0,-7.0,0.0,0.0
OH,1,0,-2.0,-4.0,0.0,0.0
OH,1,1,-3.0,-5.0,0.0,0.0
OH,1,2,-3.0,-5.0,0.0,0.0
OH,1,3,-2.0,-4.0,0.0,0.0
OH,1,4,-2.0,-3.0,0.0,0.0
OH,1,5,-3.0,-7.0,0.0,0.0
OH,1,6,-2.0,-4.0,0.0,0.0
OO,1,0,-3.0,-6.0,0.0,0.0
OO,1,1,-4.0,-7.0,0.0,0.0
OO,1,2,-4.0,-7.0,0.0,0.0
OO,1,3,-3.0,-6.0,0.0,0.0
OO,1,4,-3.0,-6.0,0.0,0.0
OO,1,5,-4.0,-8.0,0.0,0.0
OO,1,6,-3.0,-7.0,0.0,0.0
PT,1,0,-4.0,-7.0,0.0,0.0
PT,1,1,-5.0,-7.0,0.0,0.0
PT,1,2,-5.0,-7.0,0.0,0.0
PT,1,3,-4.0,-5.0,0.0,0.0
PT,1,4,-4.0,-4.0,0.0,0.0
PT,1,5,-5.0,-11.0,0.0,0.0
PT,1,6,-4.0,-7.0,0.0,0.0
QX,1,0,-3.0,-4.0,0.0,0.0
QX,1,1,-3.0,-4.0,0.0,0.0
QX,1,2,-3.0,-4.0,0.0,0.0
QX,1,3,-3.0,-3.0,0.0,0.0
QX,1,4,-3.0,-3.0,0.0,0.0
QX,1,5,-4.0,-6.0,0.0,0.0
QX,1,6,-4.0,-5.0,0.0,0.0
UA,0,0,-3.0,-6.0,0.0,0.0
UA,0,1,-3.0,-7.0,0.0,0.0
UA,0,2,-3.0,-6.0,0.0,0.0
UA,0,3,-3.0,-5.0,0.0,0.0
UA,0,4,-3.0,-5.0,0.0,0.0
UA,0,5,-3.0,-8.0,0.0,0.0
UA,0,6,-3.0,-6.0,0.0,0.0
VX,0,0,-4.0,-7.0,0.0,0.0
VX,0,1,-6.0,-9.0,0.0,0.0
VX,0,2,-4.0,-5.0,0.0,0.0
VX,0,3,-3.0,-3.0,0.0,0.0
VX,0,4,-3.0,-3.0,0.0,0.0
VX,0,5,-5.0,-9.0,0.0,0.0
VX,0,6,-4.0,-7.0,0.0,0.0
WN,0,0,0.0,-5.0,0.0,0.0
WN,0,1,0.0,-6.0,0.0,0.0
WN,0,2,0.0,-5.0,0.0,0.0
WN,0,3,1.0,-3.0,0.0,0.0
WN,0,4,1.0,-4.0,0.0,0.0
WN,0,5,0.0,-6.0,0.0,0.0
WN,0,6,0.0,-5.0,0.0,0.0
YV,1,0,-3.0,-4.0,0.0,0.0
YV,1,1,-3.0,-5.0,0.0,0.0
YV,1,2,-3.0,-5.0,0.0,0.0
YV,1,3,-3.0,-4.0,0.0,0.0
YV,1,4,-3.0,-4.0,0.0,0.0
YV,1,5,-3.0,-6.0,0.0,0.0
YV,1,6,-3.0,-5.0,0.0,0.0
YX,1,0,-4.0,-7.0,0.0,0.0
YX,1,1,-4.0,-8.0,0.0,0.0
YX,1,2,-4.0,-8.0,0.0,0.0
YX,1,3,-4.0,-6.0,0.0,0.0
YX,1,4,-3.0,-6.0,0.0,0.0
YX,1,5,-4.0,-11.0,0.0,0.0
YX,1,6,-4.0,-9.0,0.0,0.0
ZW,1,0,-5.0,-7.0,0.0,0.0
ZW,1,1,-5.0,-8.0,0.0,0.0
ZW,1,2,-6.0,-9.0,0.0,0.0
ZW,1,3,-6.0,-9.0,0.0,0.0
ZW,1,4,-5.0,-9.0,0.0,0.0
ZW,1,5,-6.0,-11.0,0.0,0.0
ZW,1,6,-5.0,-9.0,0.0,0.0
